시점,품목명,품종명,거래단위,등급,평년 평균가격(원),평균가격(원)
202103상순,깐마늘(국산),깐마늘(국산),20 kg,중품,0.0,133200.0
202103중순,깐마늘(국산),깐마늘(국산),20 kg,중품,0.0,134600.0
202103하순,깐마늘(국산),깐마늘(국산),20 kg,중품,0.0,135537.5
202104상순,깐마늘(국산),깐마늘(국산),20 kg,중품,0.0,135814.5
202104중순,깐마늘(국산),깐마늘(국산),20 kg,중품,0.0,136914.5
202104하순,깐마늘(국산),깐마늘(국산),20 kg,중품,0.0,144950.0
202105상순,깐마늘(국산),깐마늘(국산),20 kg,중품,0.0,143000.0
202105중순,깐마늘(국산),깐마늘(국산),20 kg,중품,0.0,140686.0
202105하순,깐마늘(국산),깐마늘(국산),20 kg,중품,0.0,138585.5
202106상순,깐마늘(국산),깐마늘(국산),20 kg,중품,0.0,137750.0
202106중순,깐마늘(국산),깐마늘(국산),20 kg,중품,0.0,136000.0
202106하순,깐마늘(국산),깐마늘(국산),20 kg,중품,0.0,135177.0
202107상순,깐마늘(국산),깐마늘(국산),20 kg,중품,0.0,135403.5
202107중순,깐마늘(국산),깐마늘(국산),20 kg,중품,0.0,152021.5
202107하순,깐마늘(국산),깐마늘(국산),20 kg,중품,0.0,152250.0
202108상순,깐마늘(국산),깐마늘(국산),20 kg,중품,0.0,152785.5
202108중순,깐마늘(국산),깐마늘(국산),20 kg,중품,0.0,151257.5
202108하순,깐마늘(국산),깐마늘(국산),20 kg,중품,0.0,150900.0
202109상순,깐마늘(국산),깐마늘(국산),20 kg,중품,0.0,148550.0
202109중순,깐마늘(국산),깐마늘(국산),20 kg,중품,0.0,147800.0
202109하순,깐마늘(국산),깐마늘(국산),20 kg,중품,0.0,147800.0
202110상순,깐마늘(국산),깐마늘(국산),20 kg,중품,0.0,147800.0
202110중순,깐마늘(국산),깐마늘(국산),20 kg,중품,0.0,147885.5
202110하순,깐마늘(국산),깐마늘(국산),20 kg,중품,0.0,147900.0
202111상순,깐마늘(국산),깐마늘(국산),20 kg,중품,0.0,149400.0
202111중순,깐마늘(국산),깐마늘(국산),20 kg,중품,0.0,156971.5
202111하순,깐마늘(국산),깐마늘(국산),20 kg,중품,0.0,158900.0
202112상순,깐마늘(국산),깐마늘(국산),20 kg,중품,0.0,158900.0
202112중순,깐마늘(국산),깐마늘(국산),20 kg,중품,0.0,158900.0
202112하순,깐마늘(국산),깐마늘(국산),20 kg,중품,0.0,157833.5
201801상순,무,무,20키로상자,상,0.0,9283.57142857143
201801중순,무,무,20키로상자,상,0.0,9259.88888888888
201801하순,무,무,20키로상자,상,0.0,10576.1111111111
201802상순,무,무,20키로상자,상,0.0,18371.4444444444
201802중순,무,무,20키로상자,상,0.0,19545.6666666666
201802하순,무,무,20키로상자,상,0.0,19226.0
201803상순,무,무,20키로상자,상,0.0,23856.3333333333
201803중순,무,무,20키로상자,상,0.0,19215.125
201803하순,무,무,20키로상자,상,0.0,19303.6
201804상순,무,무,20키로상자,상,0.0,18610.875
201804중순,무,무,20키로상자,상,0.0,20006.8888888888
201804하순,무,무,20키로상자,상,0.0,23676.5
201805상순,무,무,20키로상자,상,0.0,25173.6666666666
201805중순,무,무,20키로상자,상,0.0,22677.75
201805하순,무,무,20키로상자,상,0.0,13201.0
201806상순,무,무,20키로상자,상,0.0,13106.125
201806중순,무,무,20키로상자,상,0.0,10809.1111111111
201806하순,무,무,20키로상자,상,0.0,11432.2222222222
201807상순,무,무,20키로상자,상,0.0,11280.125
201807중순,무,무,20키로상자,상,0.0,14501.3333333333
201807하순,무,무,20키로상자,상,0.0,20878.8888888888
201808상순,무,무,20키로상자,상,0.0,23968.5
201808중순,무,무,20키로상자,상,0.0,20641.625
201808하순,무,무,20키로상자,상,0.0,27820.6
201809상순,무,무,20키로상자,상,0.0,22825.625
201809중순,무,무,20키로상자,상,0.0,21872.5555555555
201809하순,무,무,20키로상자,상,0.0,21683.0
201810상순,무,무,20키로상자,상,0.0,15611.2222222222
201810중순,무,무,20키로상자,상,0.0,12331.8888888888
201810하순,무,무,20키로상자,상,0.0,8466.33333333333
201811상순,무,무,20키로상자,상,0.0,6862.44444444444
201811중순,무,무,20키로상자,상,0.0,5770.25
201811하순,무,무,20키로상자,상,0.0,5724.44444444444
201812상순,무,무,20키로상자,상,0.0,7230.5
201812중순,무,무,20키로상자,상,0.0,7808.55555555555
201812하순,무,무,20키로상자,상,0.0,7535.22222222222
201901상순,무,무,20키로상자,상,0.0,7729.42857142857
201901중순,무,무,20키로상자,상,0.0,6801.375
201901하순,무,무,20키로상자,상,0.0,7740.7
201902상순,무,무,20키로상자,상,0.0,7894.8
201902중순,무,무,20키로상자,상,0.0,8620.33333333333
201902하순,무,무,20키로상자,상,0.0,8432.57142857143
201903상순,무,무,20키로상자,상,0.0,7993.875
201903중순,무,무,20키로상자,상,0.0,7646.0
201903하순,무,무,20키로상자,상,0.0,6669.55555555555
201904상순,무,무,20키로상자,상,0.0,7174.22222222222
201904중순,무,무,20키로상자,상,0.0,8150.77777777777
201904하순,무,무,20키로상자,상,0.0,9277.25
201905상순,무,무,20키로상자,상,0.0,9761.55555555555
201905중순,무,무,20키로상자,상,0.0,9051.0
201905하순,무,무,20키로상자,상,0.0,8342.4
201906상순,무,무,20키로상자,상,0.0,9132.125
201906중순,무,무,20키로상자,상,0.0,8804.77777777777
201906하순,무,무,20키로상자,상,0.0,8363.625
201907상순,무,무,20키로상자,상,0.0,8150.66666666666
201907중순,무,무,20키로상자,상,0.0,8929.77777777777
201907하순,무,무,20키로상자,상,0.0,5794.66666666666
201908상순,무,무,20키로상자,상,0.0,6928.875
201908중순,무,무,20키로상자,상,0.0,8141.125
201908하순,무,무,20키로상자,상,0.0,9616.4
201909상순,무,무,20키로상자,상,0.0,12056.0
201909중순,무,무,20키로상자,상,0.0,10907.2857142857
201909하순,무,무,20키로상자,상,0.0,12324.625
201910상순,무,무,20키로상자,상,0.0,20287.5555555555
201910중순,무,무,20키로상자,상,0.0,18901.625
201910하순,무,무,20키로상자,상,0.0,20094.5
201911상순,무,무,20키로상자,상,0.0,18687.625
201911중순,무,무,20키로상자,상,0.0,19210.5555555555
201911하순,무,무,20키로상자,상,0.0,18696.6666666666
201912상순,무,무,20키로상자,상,0.0,22651.625
201912중순,무,무,20키로상자,상,0.0,25629.1111111111
201912하순,무,무,20키로상자,상,0.0,24146.3333333333
202001상순,무,무,20키로상자,상,0.0,25478.8571428571
202001중순,무,무,20키로상자,상,0.0,19378.125
202001하순,무,무,20키로상자,상,0.0,17105.875
202002상순,무,무,20키로상자,상,0.0,10902.25
202002중순,무,무,20키로상자,상,0.0,11589.2222222222
202002하순,무,무,20키로상자,상,0.0,9167.875
202003상순,무,무,20키로상자,상,0.0,10112.0
202003중순,무,무,20키로상자,상,0.0,8490.55555555555
202003하순,무,무,20키로상자,상,0.0,10133.0
202004상순,무,무,20키로상자,상,0.0,8164.55555555555
202004중순,무,무,20키로상자,상,0.0,9708.875
202004하순,무,무,20키로상자,상,0.0,10186.7777777777
202005상순,무,무,20키로상자,상,0.0,9875.0
202005중순,무,무,20키로상자,상,0.0,8403.88888888888
202005하순,무,무,20키로상자,상,0.0,8992.0
202006상순,무,무,20키로상자,상,0.0,11056.7777777777
202006중순,무,무,20키로상자,상,0.0,11275.1111111111
202006하순,무,무,20키로상자,상,0.0,12730.75
202007상순,무,무,20키로상자,상,0.0,11513.8888888888
202007중순,무,무,20키로상자,상,0.0,11745.75
202007하순,무,무,20키로상자,상,0.0,10808.7
202008상순,무,무,20키로상자,상,0.0,12764.7142857142
202008중순,무,무,20키로상자,상,0.0,13421.4444444444
202008하순,무,무,20키로상자,상,0.0,23336.4444444444
202009상순,무,무,20키로상자,상,0.0,23616.7777777777
202009중순,무,무,20키로상자,상,0.0,22132.625
202009하순,무,무,20키로상자,상,0.0,24916.7777777777
202010상순,무,무,20키로상자,상,0.0,20661.8333333333
202010중순,무,무,20키로상자,상,0.0,14746.125
202010하순,무,무,20키로상자,상,0.0,11304.1
202011상순,무,무,20키로상자,상,0.0,11496.5
202011중순,무,무,20키로상자,상,0.0,10245.1111111111
202011하순,무,무,20키로상자,상,0.0,8736.375
202012상순,무,무,20키로상자,상,0.0,8982.44444444444
202012중순,무,무,20키로상자,상,0.0,12022.75
202012하순,무,무,20키로상자,상,0.0,14112.3
202101상순,무,무,20키로상자,상,0.0,15453.6666666666
202101중순,무,무,20키로상자,상,0.0,14208.5555555555
202101하순,무,무,20키로상자,상,0.0,11529.4444444444
202102상순,무,무,20키로상자,상,0.0,9098.88888888888
202102중순,무,무,20키로상자,상,0.0,8339.71428571428
202102하순,무,무,20키로상자,상,0.0,7570.66666666666
202103상순,무,무,20키로상자,상,0.0,7826.11111111111
202103중순,무,무,20키로상자,상,0.0,8207.88888888888
202103하순,무,무,20키로상자,상,0.0,7181.88888888888
202104상순,무,무,20키로상자,상,0.0,7465.11111111111
202104중순,무,무,20키로상자,상,0.0,8290.625
202104하순,무,무,20키로상자,상,0.0,8946.33333333333
202105상순,무,무,20키로상자,상,0.0,9051.875
202105중순,무,무,20키로상자,상,0.0,8165.22222222222
202105하순,무,무,20키로상자,상,0.0,8496.88888888888
202106상순,무,무,20키로상자,상,0.0,9258.0
202106중순,무,무,20키로상자,상,0.0,8435.75
202106하순,무,무,20키로상자,상,0.0,9150.44444444444
202107상순,무,무,20키로상자,상,0.0,12564.0
202107중순,무,무,20키로상자,상,0.0,9012.75
202107하순,무,무,20키로상자,상,0.0,11067.1
202108상순,무,무,20키로상자,상,0.0,13885.2857142857
202108중순,무,무,20키로상자,상,0.0,10580.6666666666
202108하순,무,무,20키로상자,상,0.0,10101.5555555555
202109상순,무,무,20키로상자,상,0.0,9531.0
202109중순,무,무,20키로상자,상,0.0,10187.1428571428
202109하순,무,무,20키로상자,상,0.0,8076.33333333333
202110상순,무,무,20키로상자,상,0.0,7584.5
202110중순,무,무,20키로상자,상,0.0,8729.55555555555
202110하순,무,무,20키로상자,상,0.0,10916.8888888888
202111상순,무,무,20키로상자,상,0.0,10744.4444444444
202111중순,무,무,20키로상자,상,0.0,12581.1111111111
202111하순,무,무,20키로상자,상,0.0,11107.375
202112상순,무,무,20키로상자,상,0.0,11457.6666666666
202112중순,무,무,20키로상자,상,0.0,10597.75
202112하순,무,무,20키로상자,상,0.0,10748.2
201801상순,무,다발무,10키로,중,0.0,0.0
201801중순,무,다발무,10키로,중,0.0,0.0
201801하순,무,다발무,10키로,중,0.0,0.0
201802상순,무,다발무,10키로,중,0.0,0.0
201802중순,무,다발무,10키로,중,0.0,0.0
201802하순,무,다발무,10키로,중,0.0,0.0
201803상순,무,다발무,10키로,중,0.0,0.0
201803중순,무,다발무,10키로,중,0.0,0.0
201803하순,무,다발무,10키로,중,0.0,0.0
201804상순,무,다발무,10키로,중,0.0,0.0
201804중순,무,다발무,10키로,중,0.0,0.0
201804하순,무,다발무,10키로,중,0.0,0.0
201805상순,무,다발무,10키로,중,0.0,0.0
201805중순,무,다발무,10키로,중,0.0,0.0
201805하순,무,다발무,10키로,중,0.0,0.0
201806상순,무,다발무,10키로,중,0.0,0.0
201806중순,무,다발무,10키로,중,0.0,0.0
201806하순,무,다발무,10키로,중,0.0,0.0
201807상순,무,다발무,10키로,중,0.0,0.0
201807중순,무,다발무,10키로,중,0.0,0.0
201807하순,무,다발무,10키로,중,0.0,0.0
201808상순,무,다발무,10키로,중,0.0,0.0
201808중순,무,다발무,10키로,중,0.0,0.0
201808하순,무,다발무,10키로,중,0.0,0.0
201809상순,무,다발무,10키로,중,0.0,0.0
201809중순,무,다발무,10키로,중,0.0,0.0
201809하순,무,다발무,10키로,중,0.0,0.0
201810상순,무,다발무,10키로,중,0.0,0.0
201810중순,무,다발무,10키로,중,0.0,0.0
201810하순,무,다발무,10키로,중,0.0,0.0
201811상순,무,다발무,10키로,중,0.0,0.0
201811중순,무,다발무,10키로,중,0.0,0.0
201811하순,무,다발무,10키로,중,0.0,0.0
201812상순,무,다발무,10키로,중,0.0,0.0
201812중순,무,다발무,10키로,중,0.0,0.0
201812하순,무,다발무,10키로,중,0.0,0.0
201901상순,무,다발무,10키로,중,0.0,0.0
201901중순,무,다발무,10키로,중,0.0,0.0
201901하순,무,다발무,10키로,중,0.0,0.0
201902상순,무,다발무,10키로,중,0.0,0.0
201902중순,무,다발무,10키로,중,0.0,0.0
201902하순,무,다발무,10키로,중,0.0,0.0
201903상순,무,다발무,10키로,중,0.0,0.0
201903중순,무,다발무,10키로,중,0.0,0.0
201903하순,무,다발무,10키로,중,0.0,0.0
201904상순,무,다발무,10키로,중,0.0,0.0
201904중순,무,다발무,10키로,중,0.0,0.0
201904하순,무,다발무,10키로,중,0.0,0.0
201905상순,무,다발무,10키로,중,0.0,0.0
201905중순,무,다발무,10키로,중,0.0,0.0
201905하순,무,다발무,10키로,중,0.0,0.0
201906상순,무,다발무,10키로,중,0.0,0.0
201906중순,무,다발무,10키로,중,0.0,0.0
201906하순,무,다발무,10키로,중,0.0,0.0
201907상순,무,다발무,10키로,중,0.0,0.0
201907중순,무,다발무,10키로,중,0.0,0.0
201907하순,무,다발무,10키로,중,0.0,0.0
201908상순,무,다발무,10키로,중,0.0,0.0
201908중순,무,다발무,10키로,중,0.0,0.0
201908하순,무,다발무,10키로,중,0.0,0.0
201909상순,무,다발무,10키로,중,0.0,0.0
201909중순,무,다발무,10키로,중,0.0,0.0
201909하순,무,다발무,10키로,중,0.0,0.0
201910상순,무,다발무,10키로,중,0.0,0.0
201910중순,무,다발무,10키로,중,0.0,0.0
201910하순,무,다발무,10키로,중,0.0,0.0
201911상순,무,다발무,10키로,중,0.0,0.0
201911중순,무,다발무,10키로,중,0.0,0.0
201911하순,무,다발무,10키로,중,0.0,0.0
201912상순,무,다발무,10키로,중,0.0,0.0
201912중순,무,다발무,10키로,중,0.0,0.0
201912하순,무,다발무,10키로,중,0.0,0.0
202001상순,무,다발무,10키로,중,0.0,0.0
202001중순,무,다발무,10키로,중,0.0,0.0
202001하순,무,다발무,10키로,중,0.0,0.0
202002상순,무,다발무,10키로,중,0.0,0.0
202002중순,무,다발무,10키로,중,0.0,0.0
202002하순,무,다발무,10키로,중,0.0,0.0
202003상순,무,다발무,10키로,중,0.0,0.0
202003중순,무,다발무,10키로,중,0.0,0.0
202003하순,무,다발무,10키로,중,0.0,0.0
202004상순,무,다발무,10키로,중,0.0,0.0
202004중순,무,다발무,10키로,중,0.0,0.0
202004하순,무,다발무,10키로,중,0.0,0.0
202005상순,무,다발무,10키로,중,0.0,0.0
202005중순,무,다발무,10키로,중,0.0,0.0
202005하순,무,다발무,10키로,중,0.0,0.0
202006상순,무,다발무,10키로,중,0.0,0.0
202006중순,무,다발무,10키로,중,0.0,0.0
202006하순,무,다발무,10키로,중,0.0,0.0
202007상순,무,다발무,10키로,중,0.0,0.0
202007중순,무,다발무,10키로,중,0.0,0.0
202007하순,무,다발무,10키로,중,0.0,0.0
202008상순,무,다발무,10키로,중,0.0,0.0
202008중순,무,다발무,10키로,중,0.0,0.0
202008하순,무,다발무,10키로,중,0.0,0.0
202009상순,무,다발무,10키로,중,0.0,0.0
202009중순,무,다발무,10키로,중,0.0,0.0
202009하순,무,다발무,10키로,중,0.0,0.0
202010상순,무,다발무,10키로,중,0.0,0.0
202010중순,무,다발무,10키로,중,0.0,0.0
202010하순,무,다발무,10키로,중,0.0,0.0
202011상순,무,다발무,10키로,중,0.0,0.0
202011중순,무,다발무,10키로,중,0.0,3884.8
202011하순,무,다발무,10키로,중,0.0,3580.0
202012상순,무,다발무,10키로,중,0.0,2225.44444444444
202012중순,무,다발무,10키로,중,0.0,2882.0
202012하순,무,다발무,10키로,중,0.0,2819.0
202101상순,무,다발무,10키로,중,0.0,2819.0
202101중순,무,다발무,10키로,중,0.0,2819.0
202101하순,무,다발무,10키로,중,0.0,0.0
202102상순,무,다발무,10키로,중,0.0,0.0
202102중순,무,다발무,10키로,중,0.0,0.0
202102하순,무,다발무,10키로,중,0.0,0.0
202103상순,무,다발무,10키로,중,0.0,0.0
202103중순,무,다발무,10키로,중,0.0,0.0
202103하순,무,다발무,10키로,중,0.0,0.0
202104상순,무,다발무,10키로,중,0.0,0.0
202104중순,무,다발무,10키로,중,0.0,0.0
202104하순,무,다발무,10키로,중,0.0,0.0
202105상순,무,다발무,10키로,중,0.0,0.0
202105중순,무,다발무,10키로,중,0.0,0.0
202105하순,무,다발무,10키로,중,0.0,0.0
202106상순,무,다발무,10키로,중,0.0,0.0
202106중순,무,다발무,10키로,중,0.0,0.0
202106하순,무,다발무,10키로,중,0.0,0.0
202107상순,무,다발무,10키로,중,0.0,0.0
202107중순,무,다발무,10키로,중,0.0,0.0
202107하순,무,다발무,10키로,중,0.0,0.0
202108상순,무,다발무,10키로,중,0.0,0.0
202108중순,무,다발무,10키로,중,0.0,0.0
202108하순,무,다발무,10키로,중,0.0,0.0
202109상순,무,다발무,10키로,중,0.0,0.0
202109중순,무,다발무,10키로,중,0.0,0.0
202109하순,무,다발무,10키로,중,0.0,0.0
202110상순,무,다발무,10키로,중,0.0,0.0
202110중순,무,다발무,10키로,중,0.0,0.0
202110하순,무,다발무,10키로,중,0.0,3476.66666666666
202111상순,무,다발무,10키로,중,0.0,3513.22222222222
202111중순,무,다발무,10키로,중,0.0,4346.66666666666
202111하순,무,다발무,10키로,중,0.0,2278.375
202112상순,무,다발무,10키로,중,0.0,2225.44444444444
202112중순,무,다발무,10키로,중,0.0,1165.0
202112하순,무,다발무,10키로,중,0.0,0.0
201801상순,무,무,18키로상자(비닐포),중,8080.0238095238,8294.71428571428
201801중순,무,무,18키로상자(비닐포),중,6359.58333333333,8227.88888888888
201801하순,무,무,18키로상자(비닐포),중,8571.8,8851.5
201802상순,무,무,18키로상자(비닐포),중,8824.59722222222,11332.0
201802중순,무,무,18키로상자(비닐포),중,7733.54497354497,9079.83333333333
201802하순,무,무,18키로상자(비닐포),중,7602.1746031746,10475.1428571428
201803상순,무,무,18키로상자(비닐포),중,8679.84259259259,18359.0
201803중순,무,무,18키로상자(비닐포),중,8532.10648148148,15355.75
201803하순,무,무,18키로상자(비닐포),중,8826.4037037037,16387.6
201804상순,무,무,18키로상자(비닐포),중,8886.79629629629,14720.875
201804중순,무,무,18키로상자(비닐포),중,7798.50925925926,16537.5555555555
201804하순,무,무,18키로상자(비닐포),중,9011.125,19801.75
201805상순,무,무,18키로상자(비닐포),중,10687.2824074074,21987.5
201805중순,무,무,18키로상자(비닐포),중,0.0,0.0
201805하순,무,무,18키로상자(비닐포),중,0.0,0.0
201806상순,무,무,18키로상자(비닐포),중,0.0,0.0
201806중순,무,무,18키로상자(비닐포),중,0.0,0.0
201806하순,무,무,18키로상자(비닐포),중,0.0,0.0
201807상순,무,무,18키로상자(비닐포),중,0.0,0.0
201807중순,무,무,18키로상자(비닐포),중,0.0,0.0
201807하순,무,무,18키로상자(비닐포),중,0.0,0.0
201808상순,무,무,18키로상자(비닐포),중,0.0,0.0
201808중순,무,무,18키로상자(비닐포),중,0.0,0.0
201808하순,무,무,18키로상자(비닐포),중,0.0,0.0
201809상순,무,무,18키로상자(비닐포),중,0.0,0.0
201809중순,무,무,18키로상자(비닐포),중,0.0,0.0
201809하순,무,무,18키로상자(비닐포),중,0.0,0.0
201810상순,무,무,18키로상자(비닐포),중,0.0,0.0
201810중순,무,무,18키로상자(비닐포),중,0.0,0.0
201810하순,무,무,18키로상자(비닐포),중,0.0,0.0
201811상순,무,무,18키로상자(비닐포),중,0.0,0.0
201811중순,무,무,18키로상자(비닐포),중,0.0,0.0
201811하순,무,무,18키로상자(비닐포),중,0.0,0.0
201812상순,무,무,18키로상자(비닐포),중,0.0,0.0
201812중순,무,무,18키로상자(비닐포),중,0.0,0.0
201812하순,무,무,18키로상자(비닐포),중,0.0,0.0
201901상순,무,무,18키로상자(비닐포),중,0.0,0.0
201901중순,무,무,18키로상자(비닐포),중,0.0,0.0
201901하순,무,무,18키로상자(비닐포),중,0.0,0.0
201902상순,무,무,18키로상자(비닐포),중,0.0,0.0
201902중순,무,무,18키로상자(비닐포),중,0.0,0.0
201902하순,무,무,18키로상자(비닐포),중,0.0,0.0
201903상순,무,무,18키로상자(비닐포),중,0.0,0.0
201903중순,무,무,18키로상자(비닐포),중,0.0,0.0
201903하순,무,무,18키로상자(비닐포),중,0.0,0.0
201904상순,무,무,18키로상자(비닐포),중,0.0,0.0
201904중순,무,무,18키로상자(비닐포),중,0.0,0.0
201904하순,무,무,18키로상자(비닐포),중,0.0,0.0
201905상순,무,무,18키로상자(비닐포),중,0.0,0.0
201905중순,무,무,18키로상자(비닐포),중,0.0,0.0
201905하순,무,무,18키로상자(비닐포),중,0.0,0.0
201906상순,무,무,18키로상자(비닐포),중,0.0,0.0
201906중순,무,무,18키로상자(비닐포),중,0.0,0.0
201906하순,무,무,18키로상자(비닐포),중,0.0,0.0
201907상순,무,무,18키로상자(비닐포),중,0.0,0.0
201907중순,무,무,18키로상자(비닐포),중,0.0,0.0
201907하순,무,무,18키로상자(비닐포),중,0.0,0.0
201908상순,무,무,18키로상자(비닐포),중,0.0,0.0
201908중순,무,무,18키로상자(비닐포),중,0.0,0.0
201908하순,무,무,18키로상자(비닐포),중,0.0,0.0
201909상순,무,무,18키로상자(비닐포),중,0.0,0.0
201909중순,무,무,18키로상자(비닐포),중,0.0,0.0
201909하순,무,무,18키로상자(비닐포),중,0.0,0.0
201910상순,무,무,18키로상자(비닐포),중,0.0,0.0
201910중순,무,무,18키로상자(비닐포),중,0.0,0.0
201910하순,무,무,18키로상자(비닐포),중,0.0,0.0
201911상순,무,무,18키로상자(비닐포),중,0.0,0.0
201911중순,무,무,18키로상자(비닐포),중,0.0,0.0
201911하순,무,무,18키로상자(비닐포),중,0.0,0.0
201912상순,무,무,18키로상자(비닐포),중,0.0,0.0
201912중순,무,무,18키로상자(비닐포),중,0.0,0.0
201912하순,무,무,18키로상자(비닐포),중,0.0,0.0
202001상순,무,무,18키로상자(비닐포),중,0.0,0.0
202001중순,무,무,18키로상자(비닐포),중,0.0,0.0
202001하순,무,무,18키로상자(비닐포),중,0.0,0.0
202002상순,무,무,18키로상자(비닐포),중,0.0,0.0
202002중순,무,무,18키로상자(비닐포),중,0.0,0.0
202002하순,무,무,18키로상자(비닐포),중,0.0,0.0
202003상순,무,무,18키로상자(비닐포),중,0.0,0.0
202003중순,무,무,18키로상자(비닐포),중,0.0,0.0
202003하순,무,무,18키로상자(비닐포),중,0.0,0.0
202004상순,무,무,18키로상자(비닐포),중,0.0,0.0
202004중순,무,무,18키로상자(비닐포),중,0.0,0.0
202004하순,무,무,18키로상자(비닐포),중,0.0,0.0
202005상순,무,무,18키로상자(비닐포),중,0.0,0.0
202005중순,무,무,18키로상자(비닐포),중,0.0,0.0
202005하순,무,무,18키로상자(비닐포),중,0.0,0.0
202006상순,무,무,18키로상자(비닐포),중,0.0,0.0
202006중순,무,무,18키로상자(비닐포),중,0.0,0.0
202006하순,무,무,18키로상자(비닐포),중,0.0,0.0
202007상순,무,무,18키로상자(비닐포),중,0.0,0.0
202007중순,무,무,18키로상자(비닐포),중,0.0,0.0
202007하순,무,무,18키로상자(비닐포),중,0.0,0.0
202008상순,무,무,18키로상자(비닐포),중,0.0,0.0
202008중순,무,무,18키로상자(비닐포),중,0.0,0.0
202008하순,무,무,18키로상자(비닐포),중,0.0,0.0
202009상순,무,무,18키로상자(비닐포),중,0.0,0.0
202009중순,무,무,18키로상자(비닐포),중,0.0,0.0
202009하순,무,무,18키로상자(비닐포),중,0.0,0.0
202010상순,무,무,18키로상자(비닐포),중,0.0,0.0
202010중순,무,무,18키로상자(비닐포),중,0.0,0.0
202010하순,무,무,18키로상자(비닐포),중,0.0,0.0
202011상순,무,무,18키로상자(비닐포),중,0.0,0.0
202011중순,무,무,18키로상자(비닐포),중,0.0,0.0
202011하순,무,무,18키로상자(비닐포),중,0.0,0.0
202012상순,무,무,18키로상자(비닐포),중,0.0,0.0
202012중순,무,무,18키로상자(비닐포),중,0.0,0.0
202012하순,무,무,18키로상자(비닐포),중,0.0,0.0
202101상순,무,무,18키로상자(비닐포),중,0.0,0.0
202101중순,무,무,18키로상자(비닐포),중,0.0,0.0
202101하순,무,무,18키로상자(비닐포),중,0.0,0.0
202102상순,무,무,18키로상자(비닐포),중,0.0,0.0
202102중순,무,무,18키로상자(비닐포),중,0.0,0.0
202102하순,무,무,18키로상자(비닐포),중,0.0,0.0
202103상순,무,무,18키로상자(비닐포),중,0.0,0.0
202103중순,무,무,18키로상자(비닐포),중,0.0,0.0
202103하순,무,무,18키로상자(비닐포),중,0.0,0.0
202104상순,무,무,18키로상자(비닐포),중,0.0,0.0
202104중순,무,무,18키로상자(비닐포),중,0.0,0.0
202104하순,무,무,18키로상자(비닐포),중,0.0,0.0
202105상순,무,무,18키로상자(비닐포),중,0.0,0.0
202105중순,무,무,18키로상자(비닐포),중,0.0,0.0
202105하순,무,무,18키로상자(비닐포),중,0.0,0.0
202106상순,무,무,18키로상자(비닐포),중,0.0,0.0
202106중순,무,무,18키로상자(비닐포),중,0.0,0.0
202106하순,무,무,18키로상자(비닐포),중,0.0,0.0
202107상순,무,무,18키로상자(비닐포),중,0.0,0.0
202107중순,무,무,18키로상자(비닐포),중,0.0,0.0
202107하순,무,무,18키로상자(비닐포),중,0.0,0.0
202108상순,무,무,18키로상자(비닐포),중,0.0,0.0
202108중순,무,무,18키로상자(비닐포),중,0.0,0.0
202108하순,무,무,18키로상자(비닐포),중,0.0,0.0
202109상순,무,무,18키로상자(비닐포),중,0.0,0.0
202109중순,무,무,18키로상자(비닐포),중,0.0,0.0
202109하순,무,무,18키로상자(비닐포),중,0.0,0.0
202110상순,무,무,18키로상자(비닐포),중,0.0,0.0
202110중순,무,무,18키로상자(비닐포),중,0.0,0.0
202110하순,무,무,18키로상자(비닐포),중,0.0,0.0
202111상순,무,무,18키로상자(비닐포),중,0.0,0.0
202111중순,무,무,18키로상자(비닐포),중,0.0,0.0
202111하순,무,무,18키로상자(비닐포),중,0.0,0.0
202112상순,무,무,18키로상자(비닐포),중,0.0,0.0
202112중순,무,무,18키로상자(비닐포),중,0.0,0.0
202112하순,무,무,18키로상자(비닐포),중,0.0,0.0
201801상순,무,무,20키로상자,중,0.0,8294.71428571428
201801중순,무,무,20키로상자,중,0.0,8227.88888888888
201801하순,무,무,20키로상자,중,0.0,9116.88888888888
201802상순,무,무,20키로상자,중,0.0,11353.2222222222
201802중순,무,무,20키로상자,중,0.0,9079.83333333333
201802하순,무,무,20키로상자,중,0.0,10475.1428571428
201803상순,무,무,20키로상자,중,0.0,18359.0
201803중순,무,무,20키로상자,중,0.0,15355.75
201803하순,무,무,20키로상자,중,0.0,16387.6
201804상순,무,무,20키로상자,중,0.0,14720.875
201804중순,무,무,20키로상자,중,0.0,16537.5555555555
201804하순,무,무,20키로상자,중,0.0,19801.75
201805상순,무,무,20키로상자,중,0.0,21025.6666666666
201805중순,무,무,20키로상자,중,0.0,18422.625
201805하순,무,무,20키로상자,중,0.0,10740.1
201806상순,무,무,20키로상자,중,0.0,11781.625
201806중순,무,무,20키로상자,중,0.0,9352.33333333333
201806하순,무,무,20키로상자,중,0.0,10071.8888888888
201807상순,무,무,20키로상자,중,0.0,8402.25
201807중순,무,무,20키로상자,중,0.0,10314.2222222222
201807하순,무,무,20키로상자,중,0.0,15354.6666666666
201808상순,무,무,20키로상자,중,0.0,16996.375
201808중순,무,무,20키로상자,중,0.0,15173.25
201808하순,무,무,20키로상자,중,0.0,20293.7
201809상순,무,무,20키로상자,중,0.0,17088.0
201809중순,무,무,20키로상자,중,0.0,16443.3333333333
201809하순,무,무,20키로상자,중,0.0,16211.0
